idcountry,anzsco_4digit,anzsco_title,runup_from_2019,runup_from_2020
ACT,4232,Dental Assistants,0.1805305520340661,0.199106937894578
ACT,4233,Nursing Support and Personal Care Workers,0.6183869749429753,0.6043616400445382
ACT,4234,Special Care Workers,-0.04348665803989599,-0.04348601974195565
ACT,4311,Bar Attendants and Baristas,0.32670658463975766,0.6387185014618435
ACT,4312,Cafe Workers,0.0029807768588048233,0.1576291924614095
ACT,4313,Gaming Workers,0.37776229004957407,0.4281936439590727
ACT,4314,Hotel Service Managers,-0.09237346718982775,0.21511097961702563
ACT,4315,Waiters,0.6326158671371696,1.0810518794526383
ACT,4412,Fire and Emergency Workers,0.6121795718424208,0.34130413183078495
ACT,4413,Police,0.10536057121341119,0.016806448824745246
ACT,4421,Prison Officers,0.25593416042770545,0.1381516108828551
ACT,4422,Security Officers and Guards,0.20857135376215208,0.2444702842121984
ACT,4511,Beauty Therapists,0.24283155215798757,0.46817038414552936
ACT,4512,Driving Instructors,-0.09180668892870064,0.3677245878176065
ACT,4513,Funeral Workers,0.352821702065579,0.055569272004477366
ACT,4514,"Gallery, Museum and Tour Guides",0.5596156905328429,0.41198050723494684
ACT,4515,Personal Care Consultants,-0.17869236977100147,-0.10318386539109156
ACT,4516,Tourism and Travel Advisers,0.30616697938437065,1.0219567520524098
ACT,4517,Travel Attendants,0.3483075766216498,0.47235960264969057
ACT,4521,Fitness Instructors,-0.023347442737151614,-0.01303809898502628
ACT,4522,Outdoor Adventure Guides,0,-0.08004193844247137
ACT,4523,"Sports Coaches, Instructors and Officials",0.6701576215620668,0.7708394135424781
ACT,4524,Sportspersons,-0.2738900217239657,-0.1868785595070862
ACT,5111,"Contract, Program and Project Administrators",0.2659281671393172,0.5473476711170235
ACT,5121,Office Managers,0.22426337785586936,0.48795902401708835
ACT,5122,Practice Managers,0.29417558515943965,0.26212159247019295
ACT,5211,Personal Assistants,-0.7508681122729848,-0.380164606540943
ACT,5212,Secretaries,0.8471746098476807,1.1895313289369165
ACT,5311,General Clerks,0.3001284797399375,0.4444374049143729
ACT,5321,Keyboard Operators,-0.13108546804098076,0.1433513686382233
ACT,5411,Call or Contact Centre Workers,-0.15026185227240818,0.11997650113184566
ACT,5412,Information Officers,0.5679387182098341,0.7944894040941777
ACT,5421,Receptionists,0.42904796773904863,0.7316996642519444
ACT,5511,Accounting Clerks,-0.3607482581978756,0.20437048158912718
ACT,5512,Bookkeepers,0.095715876700873,0.5034158014815064
ACT,5513,Payroll Clerks,-0.12101774692991496,0.4188475744661422
ACT,5521,Bank Workers,0.34857775944512515,0.6564313391940173
