sample,control_set,n_obs,exposure,control,coef,p
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,felten_exposure_score,runup_from_2019_mix,-0.6172293301519429,0.004500660942574482
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,webb_exposure_score,wfh_teleworkable,-0.14205445981807616,0.0014111970570568212
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,webb_exposure_score,rate_sens_rba,0.06979718477876831,0.24180138303217433
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,webb_exposure_score,runup_from_2019_mix,-0.6722534223765511,0.002178554604643369
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,beta_eloundou,wfh_teleworkable,0.04618503351735851,0.3476937093575231
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,beta_eloundou,rate_sens_rba,0.09149044841322758,0.1254812873274341
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,beta_eloundou,runup_from_2019_mix,-0.6207935253547134,0.003761209904247394
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,anthropic_usage_score,wfh_teleworkable,-0.09423948291201135,0.034043938692346454
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,anthropic_usage_score,rate_sens_rba,0.06031270414580375,0.30899280208642993
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,anthropic_usage_score,runup_from_2019_mix,-0.6782790832707619,0.002999989900142405
aus_l3,rate_sens_rba,1197,(controls only),rate_sens_rba,-0.06946366152450065,0.4862981046336199
aus_l3,rate_sens_rba,1197,ai_product_exposure_score,rate_sens_rba,0.018695589208334737,0.8346849172275795
aus_l3,rate_sens_rba,1197,felten_exposure_score,rate_sens_rba,-0.10608437678381152,0.23791719084087176
aus_l3,rate_sens_rba,1197,webb_exposure_score,rate_sens_rba,-0.07028986649756634,0.4811281638051961
aus_l3,rate_sens_rba,1197,beta_eloundou,rate_sens_rba,-0.06530548997030777,0.47350471476603295
aus_l3,rate_sens_rba,1197,anthropic_usage_score,rate_sens_rba,-0.026049412512478484,0.7886562221034078
aus_l3,rate_sens_rba_broad,1189,(controls only),rate_sens_rba_broad,0.6869590040881286,0.027143066892327015
aus_l3,rate_sens_rba_broad,1189,ai_product_exposure_score,rate_sens_rba_broad,0.6141465210896722,0.041257864753086536
aus_l3,rate_sens_rba_broad,1189,felten_exposure_score,rate_sens_rba_broad,0.8338128553131234,0.01952060781796741
aus_l3,rate_sens_rba_broad,1189,webb_exposure_score,rate_sens_rba_broad,0.8957289036499474,0.015932047127735955
aus_l3,rate_sens_rba_broad,1189,beta_eloundou,rate_sens_rba_broad,0.6955161614402481,0.04295042528883842
aus_l3,rate_sens_rba_broad,1189,anthropic_usage_score,rate_sens_rba_broad,0.5978322062245405,0.04599088352673413
aus_l3,wfh_teleworkable,1197,(controls only),wfh_teleworkable,-0.010097884739038027,0.7524308419485605
aus_l3,wfh_teleworkable,1197,ai_product_exposure_score,wfh_teleworkable,0.039180673039387666,0.244156394454543
aus_l3,wfh_teleworkable,1197,felten_exposure_score,wfh_teleworkable,-0.23348073588578047,1.0289736769285749e-4
aus_l3,wfh_teleworkable,1197,webb_exposure_score,wfh_teleworkable,-0.014807187186547477,0.6266843342703976
aus_l3,wfh_teleworkable,1197,beta_eloundou,wfh_teleworkable,-0.0020716930121691575,0.9175587686385558
aus_l3,wfh_teleworkable,1197,anthropic_usage_score,wfh_teleworkable,0.05885791145332577,0.0961440422755213
aus_l3,runup_from_2019,1197,(controls only),runup_from_2019,-0.17397785199336402,3.2876426252388745e-4
aus_l3,runup_from_2019,1197,ai_product_exposure_score,runup_from_2019,-0.2048437368060311,5.0260425362420725e-5
aus_l3,runup_from_2019,1197,felten_exposure_score,runup_from_2019,-0.15753158645083737,8.132528247124903e-5
aus_l3,runup_from_2019,1197,webb_exposure_score,runup_from_2019,-0.17142841665483682,3.449510806781977e-4
aus_l3,runup_from_2019,1197,beta_eloundou,runup_from_2019,-0.20243569000591266,4.3618696479345715e-5
aus_l3,runup_from_2019,1197,anthropic_usage_score,runup_from_2019,-0.21036134608994975,6.778761045620203e-5
aus_l3,runup_from_2020,1197,(controls only),runup_from_2020,-0.2860877678245456,0.003169830496578404
aus_l3,runup_from_2020,1197,ai_product_exposure_score,runup_from_2020,-0.2826117979184786,0.004097501475813476
aus_l3,runup_from_2020,1197,felten_exposure_score,runup_from_2020,-0.2766330268720993,0.0025572428737095
aus_l3,runup_from_2020,1197,webb_exposure_score,runup_from_2020,-0.2876865301451784,0.0043752587267461614
aus_l3,runup_from_2020,1197,beta_eloundou,runup_from_2020,-0.2879782816748979,0.0031712863862128145
aus_l3,runup_from_2020,1197,anthropic_usage_score,runup_from_2020,-0.3106127031304995,0.001671649811855175
aus_l3,wfh_teleworkable + rate_sens_rba,1197,(controls only),wfh_teleworkable,-0.008206041541620267,0.7884011734498297
aus_l3,wfh_teleworkable + rate_sens_rba,1197,(controls only),rate_sens_rba,-0.061432373956422856,0.4423828201055262
aus_l3,wfh_teleworkable + rate_sens_rba,1197,ai_product_exposure_score,wfh_teleworkable,0.03929467934423853,0.2324425060794984
aus_l3,wfh_teleworkable + rate_sens_rba,1197,ai_product_exposure_score,rate_sens_rba,-0.005011159909714694,0.9492831715156349
aus_l3,wfh_teleworkable + rate_sens_rba,1197,felten_exposure_score,wfh_teleworkable,-0.2365292771335566,8.477977781958714e-5
aus_l3,wfh_teleworkable + rate_sens_rba,1197,felten_exposure_score,rate_sens_rba,0.052365303034182145,0.536385967624008
aus_l3,wfh_teleworkable + rate_sens_rba,1197,webb_exposure_score,wfh_teleworkable,-0.013016264293668017,0.652637438893086
aus_l3,wfh_teleworkable + rate_sens_rba,1197,webb_exposure_score,rate_sens_rba,-0.05757942292884164,0.4762924241560591
aus_l3,wfh_teleworkable + rate_sens_rba,1197,beta_eloundou,wfh_teleworkable,0.0013988258791600705,0.9390212745655964
aus_l3,wfh_teleworkable + rate_sens_rba,1197,beta_eloundou,rate_sens_rba,-0.0662895181533966,0.44484186423339744
aus_l3,wfh_teleworkable + rate_sens_rba,1197,anthropic_usage_score,wfh_teleworkable,0.06141970499148001,0.07239476052405908
aus_l3,wfh_teleworkable + rate_sens_rba,1197,anthropic_usage_score,rate_sens_rba,-0.07946406436098827,0.306472021399041
aus_l3,wfh_teleworkable + runup_from_2019,1197,(controls only),wfh_teleworkable,-0.06916476838448994,0.06005236405440752
aus_l3,wfh_teleworkable + runup_from_2019,1197,(controls only),runup_from_2019,-0.1988624674789186,7.390986762120946e-5
aus_l3,wfh_teleworkable + runup_from_2019,1197,ai_product_exposure_score,wfh_teleworkable,-0.016355510405067622,0.6079296740976646
aus_l3,wfh_teleworkable + runup_from_2019,1197,ai_product_exposure_score,runup_from_2019,-0.2093084185542901,4.564111038544465e-5
aus_l3,wfh_teleworkable + runup_from_2019,1197,felten_exposure_score,wfh_teleworkable,-0.25930692246293535,1.4142448974605322e-4
aus_l3,wfh_teleworkable + runup_from_2019,1197,felten_exposure_score,runup_from_2019,-0.17623008292661282,1.0682931552992562e-4
aus_l3,wfh_teleworkable + runup_from_2019,1197,webb_exposure_score,wfh_teleworkable,-0.07009096669322723,0.052237906568483344
aus_l3,wfh_teleworkable + runup_from_2019,1197,webb_exposure_score,runup_from_2019,-0.19591048783166023,1.2825571890014243e-4
aus_l3,wfh_teleworkable + runup_from_2019,1197,beta_eloundou,wfh_teleworkable,-0.031086213157643604,0.1730884869133101
aus_l3,wfh_teleworkable + runup_from_2019,1197,beta_eloundou,runup_from_2019,-0.2049797582606982,4.805787666628622e-5
aus_l3,wfh_teleworkable + runup_from_2019,1197,anthropic_usage_score,wfh_teleworkable,7.600356670838526e-4,0.9804997942448281
aus_l3,wfh_teleworkable + runup_from_2019,1197,anthropic_usage_score,runup_from_2019,-0.21013888012531048,2.5688789148606293e-5
aus_l3,rate_sens_rba + runup_from_2019,1197,(controls only),rate_sens_rba,-0.2625687068363501,0.017483876845000582
aus_l3,rate_sens_rba + runup_from_2019,1197,(controls only),runup_from_2019,-0.18445486810622577,2.4552425532823534e-4
