anzsco_4digit,anzsco_title,rs_surprise_h6,rs_surprise_h12,rs_surprise_h18,rs_placebo_h6,rs_placebo_h12,rs_placebo_h18,rs_broad_h6,rs_broad_h12,rs_broad_h18,rate_sens_rba,rate_sens_rba_broad
2335,"Industrial, Mechanical and Production Engineers",0.7080256202170598,0.8859841215079566,0.8621822845052796,0.7458806853906619,0.9471428725966479,0.7226257258585163,0.29248816972170083,0.5691149695093656,0.33427822450136147,0.8859841215079566,0.5691149695093656
2336,Mining Engineers,0.6326318481068995,0.7564191565852125,0.6760372853596224,0.720924050949887,0.9302714406874555,0.7142024225046586,0.32925363742856023,0.6316560314848909,0.3406750838819618,0.7564191565852125,0.6316560314848909
2339,Other Engineering Professionals,0.7389469448226784,0.9358133169850559,0.8846919197357938,0.7594357202412924,0.9671770771928169,0.7897139265824566,0.34001555641753534,0.6473459706778566,0.3779330331780556,0.9358133169850559,0.6473459706778566
2341,Agricultural and Forestry Scientists,0.559995737741104,0.7603882898792941,0.6178985732426985,0.6317371805006322,0.8914844479210142,0.6218712463749344,0.32487982324313025,0.6533737094865613,0.4234004015781428,0.7603882898792941,0.6533737094865613
2342,"Chemists, and Food and Wine Scientists",0.6554275009811505,0.7572127292817395,0.7368954674551005,0.7495153153489474,0.9659067335982001,0.7792719876525068,0.37025958021373545,0.7145772519159193,0.45249760024847785,0.7572127292817395,0.7145772519159193
2343,Environmental Scientists,0.6923922381780222,0.8919058272785584,0.8440253409418826,0.746342347862717,0.92904749580511,0.7596662577619914,0.3484430629569407,0.6679756924176495,0.39082310339413506,0.8919058272785584,0.6679756924176495
2344,Geologists and Geophysicists,0.65882349772939,0.861222409489456,0.8001929685815597,0.6858437544515729,0.9519938609352306,0.7700185673666606,0.27726034449285525,0.5669113976901948,0.29116485285898747,0.861222409489456,0.5669113976901948
2345,Life Scientists,0.6266952377292886,0.836509566182528,0.7533376180331897,0.6260345156786999,0.8831499233918493,0.6619836446879924,0.3913888661055482,0.7213055943721302,0.44068306634610044,0.836509566182528,0.7213055943721302
2346,Medical Laboratory Scientists,0.7225782170366619,0.9865254998798503,0.781485954096889,0.6664166632075201,0.9336858383754422,0.6837063038735335,0.3905177994118649,0.7108697010467716,0.4572239310489984,0.9865254998798503,0.7108697010467716
2347,Veterinarians,0.6176915191768498,0.6188330967588243,0.6504739772583187,0.6890975268988853,0.9648626566273718,0.7833364254766233,0.39104852932192413,0.7963164857262037,0.47203386805967823,0.6188330967588243,0.7963164857262037
2349,Other Natural and Physical Science Professionals,0.6369906347760038,0.9010227924491655,0.745227472474155,0.6375921957573976,0.8917216334690343,0.7170287913431902,0.26960630055577334,0.5807494989762149,0.3341704140325242,0.9010227924491655,0.5807494989762149
2411,Early Childhood (Pre-primary School) Teachers,0.6883614374172041,0.7823034512571463,0.7540118092012581,0.7617660602467002,0.9413639516561542,0.7408217412136211,0.407131652683598,0.7756016084668725,0.49521818194354916,0.7823034512571463,0.7756016084668725
2412,Primary School Teachers,0.8855320182829696,0.9386838774904942,1,0.8583612724103632,0.8868190775754209,0.7723591366528589,0.3547073607009804,0.75629694419373406,0.4464542587042299,0.9386838774904942,0.75629694419373406
2414,Secondary School Teachers,0.8729011792033828,0.889168263526081,0.9466139272196126,0.9247926635096012,0.9454593130803449,0.8867908517088311,0.4002643114460538,0.7777300095328916,0.4608270143628843,0.889168263526081,0.7777300095328916
2415,Special Education Teachers,0.700611383353723,0.6927303577364492,0.8791693057817991,0.8400369368381416,0.9477501331598499,0.8396087911390686,0.36622104669897665,0.7354679809706648,0.4690025097145168,0.6927303577364492,0.7354679809706648
2421,University Lecturers and Tutors,0.673449692409754,0.8265244514956698,0.6955691895913726,0.8509153636646466,0.9874134382223887,0.8119347020027804,0.38658211532408104,0.7552470761794797,0.4611489006042682,0.8265244514956698,0.7552470761794797
2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0.5926371320682944,0.752389729323404,0.694846304815556,0.7832562351470295,0.9560602507853792,0.7549716849330032,0.3570414395351131,0.7443221964341095,0.449565436442399,0.752389729323404,0.7443221964341095
2491,Education Advisers and Reviewers,0.6727989962961762,0.8089398338314873,0.7768884199640477,0.7275502182055782,0.8917543334718053,0.694534230094025,0.37366781270057053,0.7413978718505103,0.4606772070080767,0.8089398338314873,0.7413978718505103
2492,Private Tutors and Teachers,0.6413080381625922,0.853025405061429,0.6869780722417568,0.6884404885360401,0.9053062011371906,0.7014909558915094,0.4089136867816106,0.7504106240270165,0.4537700162864732,0.853025405061429,0.7504106240270165
2493,Teachers of English to Speakers of Other Languages,0.6110327316000105,0.5320332504773969,0.7901524783517788,0.6550519097232358,0.8181241323770748,0.6523426487243438,0.437606981771181,0.7902271432757209,0.45801790539393844,0.5320332504773969,0.7902271432757209
2511,Nutrition Professionals,0.6994770152765601,0.8456777634695317,0.777032225311822,0.6845061158933078,0.8857754619621928,0.6300302506290183,0.4022522623957224,0.7856318850495647,0.5355141063008643,0.8456777634695317,0.7856318850495647
2512,Medical Imaging Professionals,0.6592644145391066,0.7665774490874807,0.6701751796961902,0.7236258712480944,0.9355651691474479,0.7113766213913563,0.41915959360437055,0.7710791069344516,0.4909511302789176,0.7665774490874807,0.7710791069344516
2513,Occupational and Environmental Health Professionals,0.7229887190057664,0.9356838503710605,0.8696285243277557,0.730185760195455,0.9181441489731479,0.6902355393597439,0.353397523110196,0.6916927680235145,0.4291549509004429,0.9356838503710605,0.6916927680235145
2514,Optometrists and Orthoptists,0.5697150900739498,0.7035235914574983,0.6312895381034554,0.664871426690604,0.8180819811997586,0.4347912942697448,0.4240732471553363,0.800935578203245,0.5460172489970581,0.7035235914574983,0.800935578203245
2515,Pharmacists,0.7380218185237489,0.8420435054787097,0.8457316218037793,0.7890301852625817,0.8789367399843461,0.6784679000993379,0.42331952605634054,0.7710299796521963,0.46069559954251205,0.8420435054787097,0.7710299796521963
2519,Other Health Diagnostic and Promotion Professionals,0.6495211075611178,0.8817740698073463,0.697294312622975,0.7744933685602174,0.9414303258407243,0.7100257372571418,0.39338078022225226,0.7394873708471418,0.4637760532786434,0.8817740698073463,0.7394873708471418
2522,Complementary Health Therapists,0.6962378107926263,0.8345507495016431,0.816101028480122,0.7109689329702449,0.8348276872060233,0.6418887552081868,0.3965418456808678,0.7602988528228387,0.459045727163894,0.8345507495016431,0.7602988528228387
2523,Dental Practitioners,0.6758815588790867,0.8318432427332583,0.7534777793631975,0.7344844060564171,0.932094289845256,0.7128795213064509,0.4110299453235934,0.8006971143855641,0.5428423985899025,0.8318432427332583,0.8006971143855641
2524,Occupational Therapists,0.7537232314960982,0.8960751395602325,0.8997537829508357,0.8218207794203605,0.9475478732729469,0.8208656180323444,0.41493506577317457,0.8003689479033023,0.5119624856808016,0.8960751395602325,0.8003689479033023
2525,Physiotherapists,0.7046861408742423,0.7918933096146314,0.768202518590572,0.7718217825969124,0.9566794329046189,0.7366553331683864,0.4161163028762064,0.8049098666974946,0.5184800797906827,0.7918933096146314,0.8049098666974946
2526,Podiatrists,0.6611408858722817,0.8069552736752733,0.7230251909424308,0.6722555895624319,0.9318600494843792,0.6978807349049133,0.37333317164511354,0.7830013851983507,0.5392396533680539,0.8069552736752733,0.7830013851983507
2527,Audiologists and Speech Pathologists/Therapists,0.7712843342556711,0.9106171526029557,0.8817388315817526,0.7806791517375339,0.9228395085351501,0.7919184324751694,0.4026321587790879,0.7996410589857227,0.5392424276913919,0.9106171526029557,0.7996410589857227
2531,General Practitioners and Resident Medical Officers,0.5981873744593504,0.675137767559636,0.5857139898173346,0.7573438564270057,1,0.7654484822273365,0.42208863184905043,0.7886074796403898,0.49499008005041073,0.675137767559636,0.7886074796403898
2532,Anaesthetists,0.3707348087905823,0.24115861376614808,0.4160651989356069,NA,NA,NA,0.24938325244291074,0.38900565970427503,0.33756994714487776,0.24115861376614808,0.38900565970427503
2533,Specialist Physicians,0.6230509608059461,0.6546921820992752,0.6636485378378423,0.7957891457302212,0.9736012893255234,0.7447935157789384,0.3995500228830911,0.76935111116724475,0.496639698250398,0.6546921820992752,0.76935111116724475
2534,Psychiatrists,0.4355599021657001,0.6165934108790175,0.4827844531111541,0.6868908409697382,0.9325437086061146,0.6607517365551918,0.4219222095382717,0.8977466412848413,0.49655985398670655,0.6165934108790175,0.8977466412848413
2535,Surgeons,0.40722424099619337,0.4289484487304925,0.3735576004411695,0.6091402378196832,0.8049566467645509,0.6448340060208917,0.29111055175866013,0.6259572308804261,0.26207547541983206,0.4289484487304925,0.6259572308804261
2539,Other Medical Practitioners,0.5995933156716642,0.6491291227132463,0.647001429592421,0.7009947661568275,0.9852359691720556,0.7654790590559982,0.39871778753064063,0.7946716396555489,0.5174014532302516,0.6491291227132463,0.7946716396555489
2541,Midwives,0.6587129346611025,0.7597391859493037,0.8077822660795827,0.7608781690662942,0.9408682891747093,0.7094302122178129,0.41317310852577693,0.7870807973216959,0.5123195526792148,0.7597391859493037,0.7870807973216959
2542,Nurse Educators and Researchers,0.6374710082583903,0.7724779645558386,0.6859466284844314,0.748541633987696,0.9587879893608289,0.7189425803206412,0.4007254071768059,0.7555723666136244,0.4853772708108604,0.7724779645558386,0.7555723666136244
2543,Nurse Managers,0.6318511482024318,0.7861426394734844,0.6717408952089473,0.6696173558587815,0.921949437953496,0.6944637732438081,0.40963342767879934,0.7677688149561545,0.4849076612756282,0.7861426394734844,0.7677688149561545
2544,Registered Nurses,0.7228304037564336,0.8760156092899611,0.8325118052474245,0.7918745737111232,0.9535031138514426,0.7671578241329844,0.4032528132315577,0.7630476375367988,0.4794332149462928,0.8760156092899611,0.7630476375367988
2611,ICT Business and Systems Analysts,0.6506143698015298,0.8453961610219792,0.775578968610763,0.7273270899360915,0.9593871559072179,0.7122692508345044,0.357581315294591,0.7142722547538687,0.4787513066464368,0.8453961610219792,0.7142722547538687
2612,Multimedia Specialists and Web Developers,0.6808714698417536,0.7980182142036578,0.7639073863345105,0.7145580112791164,0.9226296307282211,0.6831310304069381,0.36813275012098634,0.7331595388740622,0.46951459566878195,0.7980182142036578,0.7331595388740622
2613,Software and Applications Programmers,0.6830988770109572,0.8613220824942419,0.7844763613427826,0.7380782832305474,0.9520761603114659,0.7257324054828802,0.3669341845637656,0.716028204894995,0.4600112656454843,0.8613220824942419,0.716028204894995
2621,"Database and Systems Administrators, and ICT Security Specialists",0.6914102622270372,0.8875494315485001,0.8108950263768899,0.7375712494162883,0.9529005767557159,0.7246016527903024,0.36968015789055686,0.7178799023249675,0.4517814806754403,0.8875494315485001,0.7178799023249675
2631,Computer Network Professionals,0.6903299474315887,0.8562588601324463,0.8445456240146274,0.7476418803936029,0.9213523832721338,0.6977550446099565,0.3588947523703775,0.6884521489340751,0.42334453205975586,0.8562588601324463,0.6884521489340751
2632,ICT Support and Test Engineers,0.6784343959084398,0.8759949830257371,0.7722977135421053,0.7000122754442938,0.9476319574441511,0.7164589619879509,0.36359689199618717,0.727559807982256,0.4777932761620757,0.8759949830257371,0.727559807982256
2633,Telecommunications Engineering Professionals,0.6663021580994402,0.8403893875715804,0.8083678738520625,0.7358816936780156,0.949104560442885,0.7135389456549053,0.34362369241494384,0.7105619318639774,0.43245558762550074,0.8403893875715804,0.7105619318639774
2713,Solicitors,0.7017449288170513,0.8825602534971411,0.8535518952445169,0.7451707273736776,0.9356230459336612,0.7145743073936791,0.34104181397382766,0.6733582449817573,0.40070996960065336,0.8825602534971411,0.6733582449817573
