sample,control_set,n_obs,n_occ,exposure,baseline,baseline_p,with_controls,with_controls_p,pct_attenuation
eu_l3,runup_from_2019_mix,2542,121,felten_exposure_score,-0.24569871914044777,2.490323053152268e-4,-0.21412024850989334,5.783050790770694e-4,12.852517400590669
eu_l3,runup_from_2019_mix,2542,121,webb_exposure_score,-0.2201989079233913,6.561487815576489e-5,-0.22482974785453888,5.72363382820677e-5,-2.1030258391466106
eu_l3,runup_from_2019_mix,2542,121,beta_eloundou,-0.32597070367654196,6.679942294069932e-5,-0.29411376258343397,1.1500481630661517e-4,9.772946075767397
eu_l3,runup_from_2019_mix,2542,121,anthropic_usage_score,-0.3721234305019638,5.290493419471285e-7,-0.3290848911438325,1.7535248625961827e-6,11.56566231265681
eu_l3,runup_from_2019_pooled,2542,121,ai_product_exposure_score,-0.24005982756573443,4.715592054842873e-4,-0.1696923639531363,0.0042814527841382915,29.312469448196097
eu_l3,runup_from_2019_pooled,2542,121,felten_exposure_score,-0.24569871914044777,2.490323053152268e-4,-0.209894470810866,6.826698309453875e-4,14.572419610016418
eu_l3,runup_from_2019_pooled,2542,121,webb_exposure_score,-0.2201989079233913,6.561487815576489e-5,-0.22827734798197688,5.071526863177925e-5,-3.668701236881744
eu_l3,runup_from_2019_pooled,2542,121,beta_eloundou,-0.32597070367654196,6.679942294069932e-5,-0.2892390355736073,1.2929507223824986e-4,11.268395499548689
eu_l3,runup_from_2019_pooled,2542,121,anthropic_usage_score,-0.3721234305019638,5.290493419471285e-7,-0.3231422067357028,1.80078753089093e-6,13.162628244125706
eu_l3,wfh_teleworkable + rate_sens_rba,2331,100,ai_product_exposure_score,-0.20881951242794505,9.128027618307907e-4,-0.13122401245267692,0.011767242387520346,37.159123241437086
eu_l3,wfh_teleworkable + rate_sens_rba,2331,100,felten_exposure_score,-0.219432249057711,0.0011785366918492693,-0.22327496239501698,0.012884543563512018,-1.7512071966665932
eu_l3,wfh_teleworkable + rate_sens_rba,2331,100,webb_exposure_score,-0.21163739812086033,9.676881152745937e-5,-0.2141872210753655,8.774002011410809e-5,-1.2048073625669176
eu_l3,wfh_teleworkable + rate_sens_rba,2331,100,beta_eloundou,-0.29627473155411826,1.7065519380670918e-4,-0.35895417838152344,6.29400280799576e-4,-21.155853048492588
eu_l3,wfh_teleworkable + rate_sens_rba,2331,100,anthropic_usage_score,-0.33086335485054447,8.256494171803347e-7,-0.2285963559701558,5.94224460216042e-5,30.909134354447954
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,119,ai_product_exposure_score,-0.2407293908402502,4.6935025370029607e-4,-0.09981838884181747,0.047412990087678235,58.53502204553922
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,119,felten_exposure_score,-0.24542675885321386,2.53624088534005e-4,-0.22319073003825055,0.0072610111251210935,9.060148501680843
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,119,webb_exposure_score,-0.2201989079233913,6.561487815576489e-5,-0.2267636191651145,4.771656507660681e-5,-2.981264214083712
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,119,beta_eloundou,-0.3261990929256273,6.635002820768623e-5,-0.3518512752596911,8.168892741105538e-4,-7.863964949746949
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,119,anthropic_usage_score,-0.37127137320854886,5.506932212954688e-7,-0.2299847197565826,2.661250492385502e-4,38.05482017936335
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,100,ai_product_exposure_score,-0.23954617454751143,5.626837901846831e-4,-0.20449618522150254,0.003624822870801901,14.631830123030042
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,100,felten_exposure_score,-0.2538513038746858,3.155641388470712e-4,-0.23777200846068833,8.485639375056846e-4,6.334139383398652
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,100,webb_exposure_score,-0.22670598893705304,9.265656978099242e-5,-0.2199600484656319,0.00010244512493826052,2.97563399319557
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,100,beta_eloundou,-0.3329085369304071,8.210411481647455e-5,-0.3289548613723853,1.4163061163391426e-4,1.1876161526156115
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,100,anthropic_usage_score,-0.3635447320244035,4.6540871412649514e-7,-0.32798361857852537,2.9194746512408955e-6,9.781771076108193
eu_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019_mix,2125,99,ai_product_exposure_score,-0.23825168138334724,5.830145825049626e-4,-0.129151225243898,0.0260755736656468,45.79210333626418
