idcountry,isco_level_2,covered_share,runup_from_2019,runup_from_2020,runup_from_2019_vac,runup_from_2019_mix,runup_from_2019_pooled
BE,43,1,0.4047390608521396,0.5726575224296296,0.450334776710534,0.24038517214348165,0.23458491600751655
BE,44,1,0.3091800152929895,0.658615827865231,0.44096076382782123,0.20712962927764897,0.22342473279847286
BE,51,1,0.2283695989765656,0.6650127872692049,0.2715090513753044,0.23102639941231204,0.238314812334843
BE,52,1,0.3936467916751165,0.495860416983418,0.40736275377975634,0.22149238554716283,0.22638151495911119
BE,53,1,0.16035689041779103,0.1849003009824237,0.24945109077002087,0.1735375178119565,0.168589853474218
BE,54,1,0.34538716759054333,0.4821804919545014,0.40256773978500715,0.23369522087259667,0.2271638342216441
BE,71,1,0.2736516444723569,0.4701896264825267,0.31495262048037337,0.19677409984135572,0.20087113518437769
BE,72,1,0.47545333507933135,0.5291785853192489,0.508118442256499,0.21679251934215,0.2167728606257869
BE,73,1,0.5787368293822012,0.5787368293822012,0.603988022610487,0.22072107126613294,0.21952040503363573
BE,74,1,0.32172892387027713,0.4856428395407062,0.3652879085388841,0.20711665449525518,0.21619110908262257
BE,75,1,0.518385542143504,0.5424924293367127,0.5391084338336078,0.22051539026942818,0.21738428807614973
BE,81,1,0.5363573790434519,0.5677755338494128,0.5659543117782971,0.21649024813680418,0.21652054400345797
BE,82,1,0.5787368293822012,0.5787368293822012,0.603988022610487,0.22072107126613294,0.21989440056919204
BE,83,1,0.35565918492630916,0.593642243479289,0.46510924635072354,0.21952015264096086,0.20902411239158486
BE,91,1,0.28071965808891863,0.35344803919193196,0.33683999758831823,0.2547644093546944,0.2330230761849543
BE,92,0.6703296703296703,0.3454470983819114,0.3700183591124165,0.3819080884094372,0.15355817108393394,-0.12237825031757464
BE,93,1,0.38669365534340644,0.4985658652586205,0.44326090181156436,0.21713149309942079,0.2150336288425011
BE,94,1,0.33385404766404636,0.546073335674832,0.33783989934987946,0.27047230936595146,0.2731603358466676
BE,96,1,0.3583075403444952,0.4162236955067444,0.40655216371904107,0.2043606736978401,0.22864745822534405
BG,11,1,-0.4519851237430573,-0.3708595789306889,-0.3524770220022599,0.1823215567939548,0.22205715776995835
BG,12,1,0.3503665272432749,0.3925797277293819,0.40270011053840327,0.2661594111852536,0.24446408178875306
BG,13,1,-0.031092001850704987,0.1351678572993547,-0.06334661392652753,0.2122266448813147,0.2130208675503039
BG,14,1,0.32105881716081935,0.5347843089268339,0.2625354969872308,0.24647602903060148,0.25317490005446597
BG,21,1,-0.0431888442439946,0.03664088798886867,-0.04658345667160167,0.24160483046637385,0.25205294245025983
